Algorithm;Level;Cost;Nodes Expanded;Nodes Frontier;Processing Time (s)
greedy;levels/base/1.txt;5;25;12;0.011016804000973934
greedy;levels/base/2.txt;5;25;12;0.00813567899967893
greedy;levels/base/3.txt;5;39;12;0.018285633999767015
greedy;levels/base/4.txt;5;39;12;0.020844423001108225
greedy;levels/blocked_diagonal/1.txt;19;221;31;0.18740291599897319
greedy;levels/blocked_diagonal/2.txt;19;220;28;0.13256573200123967
greedy;levels/blocked_diagonal/3.txt;19;228;31;0.1563746629981324
greedy;levels/blocked_diagonal/4.txt;19;213;28;0.13362879600026645
greedy;levels/diagonal/1.txt;13;108;26;0.08894369100016775
greedy;levels/diagonal/2.txt;13;101;24;0.08060382799885701
greedy;levels/diagonal/3.txt;13;112;26;0.08960609199857572
greedy;levels/diagonal/4.txt;13;97;24;0.07545558299898403
greedy;levels/more_space_15/1.txt;11;115;27;0.23954478900122922
greedy;levels/more_space_15/2.txt;11;115;27;0.20169238100061193
greedy;levels/more_space_15/3.txt;11;153;27;0.3977964020014042
greedy;levels/more_space_15/4.txt;11;153;27;0.41269568499774323
greedy;levels/pathway/1.txt;29;218;26;0.1471558939992974
greedy;levels/pathway/2.txt;29;209;26;0.13008486600301694
greedy;levels/pathway/3.txt;29;205;23;0.13228024799900595
greedy;levels/pathway/4.txt;29;208;24;0.14725019500110648
greedy;levels/scattered/1.txt;13;89;27;0.05236427600175375
greedy;levels/scattered/2.txt;13;89;27;0.0440126319990668
greedy;levels/scattered/3.txt;17;343;24;0.2789639639995585
greedy;levels/scattered/4.txt;13;94;24;0.04976370499935001
greedy;levels/walls_3/1.txt;15;115;28;0.09930264799913857
greedy;levels/walls_3/2.txt;15;115;28;0.09738664699762012
greedy;levels/walls_3/3.txt;15;117;26;0.09125377699820092
greedy;levels/walls_3/4.txt;15;114;26;0.09079185699738446
a*;levels/base/1.txt;5;25;12;0.01639473399700364
a*;levels/base/2.txt;5;25;12;0.008989423000457464
a*;levels/base/3.txt;5;39;12;0.02842125199822476
a*;levels/base/4.txt;5;39;12;0.04158303800068097
a*;levels/blocked_diagonal/1.txt;19;1405;143;3.6871250479998707
a*;levels/blocked_diagonal/2.txt;19;1408;143;3.1060769540017645
a*;levels/blocked_diagonal/3.txt;19;1408;143;3.377661957001692
a*;levels/blocked_diagonal/4.txt;19;1405;143;3.173955233000015
a*;levels/diagonal/1.txt;13;210;55;0.3247875339984603
a*;levels/diagonal/2.txt;13;203;53;0.27258203699966543
a*;levels/diagonal/3.txt;13;214;55;0.30945778699970106
a*;levels/diagonal/4.txt;13;199;53;0.2833598519973748
a*;levels/more_space_15/1.txt;11;115;27;0.3138765110015811
a*;levels/more_space_15/2.txt;11;115;27;0.2563378859995282
a*;levels/more_space_15/3.txt;11;153;27;0.5335333729999547
a*;levels/more_space_15/4.txt;11;153;27;0.5444353530001536
a*;levels/pathway/1.txt;29;1375;43;1.7159918670004117
a*;levels/pathway/2.txt;29;1375;43;1.5911605190012779
a*;levels/pathway/3.txt;29;1371;42;1.7125998990013613
a*;levels/pathway/4.txt;29;1368;42;1.7930797250010073
a*;levels/scattered/1.txt;13;259;50;0.2521108369983267
a*;levels/scattered/2.txt;13;259;50;0.2187550349990488
a*;levels/scattered/3.txt;17;524;59;0.5350412900006631
a*;levels/scattered/4.txt;13;259;48;0.23828492499887943
a*;levels/walls_3/1.txt;15;420;83;0.8446821870020358
a*;levels/walls_3/2.txt;15;420;83;0.786510764999548
a*;levels/walls_3/3.txt;15;416;82;0.8389911839985871
a*;levels/walls_3/4.txt;15;413;82;0.8632909779989859
