Algorithm;Level;Cost;Nodes Expanded;Nodes Frontier;Processing Time (s)
greedy;levels/base/1.txt;5;25;12;0.004326204998506
greedy;levels/base/2.txt;5;25;12;0.0043235580014879815
greedy;levels/base/3.txt;5;39;12;0.0072823039990908
greedy;levels/base/4.txt;5;39;12;0.005711735000659246
greedy;levels/blocked_diagonal/1.txt;19;221;31;0.03828703200269956
greedy;levels/blocked_diagonal/2.txt;19;220;28;0.03624148500239244
greedy;levels/blocked_diagonal/3.txt;19;228;31;0.03073449600196909
greedy;levels/blocked_diagonal/4.txt;19;213;28;0.027783698998973705
greedy;levels/diagonal/1.txt;13;108;26;0.010676169000362279
greedy;levels/diagonal/2.txt;13;101;24;0.01160998799969093
greedy;levels/diagonal/3.txt;13;112;26;0.012904784001875669
greedy;levels/diagonal/4.txt;13;97;24;0.013379043997701956
greedy;levels/more_space_15/1.txt;11;115;27;0.015371662000688957
greedy;levels/more_space_15/2.txt;11;115;27;0.01777012200182071
greedy;levels/more_space_15/3.txt;11;153;27;0.024544779997086152
greedy;levels/more_space_15/4.txt;11;153;27;0.019508402001520153
greedy;levels/pathway/1.txt;29;583;20;0.07902109299902804
greedy;levels/pathway/2.txt;29;574;20;0.07457945500209462
greedy;levels/pathway/3.txt;29;573;18;0.07411290399977588
greedy;levels/pathway/4.txt;29;576;19;0.07797936100178049
greedy;levels/scattered/1.txt;13;181;23;0.02195116499933647
greedy;levels/scattered/2.txt;13;181;23;0.022518559999298304
greedy;levels/scattered/3.txt;17;343;24;0.051433869997708825
greedy;levels/scattered/4.txt;13;180;22;0.020887434999167453
greedy;levels/walls_3/1.txt;15;501;25;0.08544864199939184
greedy;levels/walls_3/2.txt;15;501;25;0.07908151800074847
greedy;levels/walls_3/3.txt;15;496;24;0.07850358900032006
greedy;levels/walls_3/4.txt;15;493;24;0.08113372599837021
a*;levels/base/1.txt;5;25;12;0.004845228999329265
a*;levels/base/2.txt;5;25;12;0.004714269998657983
a*;levels/base/3.txt;5;39;12;0.009033679998537991
a*;levels/base/4.txt;5;39;12;0.007608839001477463
a*;levels/blocked_diagonal/1.txt;19;1405;143;0.4889272529981099
a*;levels/blocked_diagonal/2.txt;19;1408;143;0.46367161499802023
a*;levels/blocked_diagonal/3.txt;19;1408;143;0.4470871810008248
a*;levels/blocked_diagonal/4.txt;19;1405;143;0.4296841809991747
a*;levels/diagonal/1.txt;13;210;55;0.03867579199868487
a*;levels/diagonal/2.txt;13;203;53;0.039217990000906866
a*;levels/diagonal/3.txt;13;214;55;0.04250877800222952
a*;levels/diagonal/4.txt;13;199;53;0.0360117589989386
a*;levels/more_space_15/1.txt;11;115;27;0.018803120001393836
a*;levels/more_space_15/2.txt;11;115;27;0.02172812999924645
a*;levels/more_space_15/3.txt;11;153;27;0.026439062999997986
a*;levels/more_space_15/4.txt;11;153;27;0.025388949001353467
a*;levels/pathway/1.txt;29;1375;42;0.2620959359992412
a*;levels/pathway/2.txt;29;1375;42;0.2899598000003607
a*;levels/pathway/3.txt;29;1371;41;0.26059787700069137
a*;levels/pathway/4.txt;29;1368;41;0.26028468500226154
a*;levels/scattered/1.txt;13;280;43;0.043664268996508326
a*;levels/scattered/2.txt;13;280;43;0.04323703500267584
a*;levels/scattered/3.txt;17;524;59;0.09676780500012683
a*;levels/scattered/4.txt;13;280;41;0.044456685998738976
a*;levels/walls_3/1.txt;15;570;73;0.13098481099950732
a*;levels/walls_3/2.txt;15;570;73;0.1448545559978811
a*;levels/walls_3/3.txt;15;566;72;0.1499201689985057
a*;levels/walls_3/4.txt;15;563;72;0.1326418350035965
